Date,mercury,nitrite,COD,ID
1/1/2002,NA,NA,NA,6
1/2/2002,NA,NA,NA,6
1/3/2002,NA,NA,7.74,6
1/4/2002,NA,NA,NA,6
1/5/2002,NA,NA,NA,6
1/6/2002,NA,NA,2.63,6
1/7/2002,NA,NA,NA,6
1/8/2002,NA,NA,NA,6
1/9/2002,NA,NA,3.8,6
1/10/2002,NA,NA,NA,6
1/11/2002,NA,NA,NA,6
1/12/2002,NA,NA,3.52,6
1/13/2002,NA,NA,NA,6
1/14/2002,NA,NA,NA,6
1/15/2002,NA,NA,3.7,6
1/16/2002,NA,NA,NA,6
1/17/2002,NA,NA,NA,6
1/18/2002,NA,NA,3.9,6
1/19/2002,NA,NA,NA,6
1/20/2002,NA,NA,NA,6
1/21/2002,NA,NA,2.72,6
1/22/2002,NA,NA,NA,6
1/23/2002,NA,NA,NA,6
1/24/2002,NA,NA,5.95,6
1/25/2002,NA,NA,NA,6
1/26/2002,NA,NA,NA,6
1/27/2002,NA,NA,2.11,6
1/28/2002,NA,NA,NA,6
1/29/2002,NA,NA,NA,6
1/30/2002,NA,NA,6.4,6
1/31/2002,NA,NA,NA,6
2/1/2002,1.32,0.182,NA,6
2/2/2002,NA,NA,2.67,6
2/3/2002,NA,NA,NA,6
2/4/2002,NA,NA,NA,6
2/5/2002,NA,NA,NA,6
2/6/2002,NA,NA,2.63,6
2/7/2002,1.84,0.958,NA,6
2/8/2002,NA,NA,NA,6
2/9/2002,NA,NA,3.8,6
2/10/2002,NA,NA,NA,6
2/11/2002,NA,NA,NA,6
2/12/2002,NA,NA,3.52,6
2/13/2002,3.77,1.16,NA,6
2/14/2002,NA,NA,NA,6
2/15/2002,NA,NA,3.7,6
2/16/2002,NA,NA,NA,6
2/17/2002,NA,NA,NA,6
2/18/2002,NA,NA,3.9,6
2/19/2002,NA,NA,NA,6
2/20/2002,NA,NA,NA,6
2/21/2002,NA,NA,2.72,6
2/22/2002,NA,NA,NA,6
2/23/2002,NA,NA,NA,6
2/24/2002,NA,NA,5.95,6
2/25/2002,5.02,0.888,NA,6
2/26/2002,NA,NA,NA,6
2/27/2002,NA,NA,2.11,6
2/28/2002,NA,NA,NA,6
3/1/2002,NA,NA,NA,6
3/2/2002,NA,NA,6.4,6
3/3/2002,2.43,1.23,NA,6
3/4/2002,NA,NA,NA,6
3/5/2002,NA,NA,2.67,6
3/6/2002,NA,NA,NA,6
3/7/2002,NA,NA,NA,6
3/8/2002,NA,NA,3.92,6
3/9/2002,2.42,0.467,NA,6
3/10/2002,NA,NA,0.699,6
3/11/2002,NA,NA,NA,6
3/12/2002,NA,NA,NA,6
3/13/2002,NA,NA,NA,6
3/14/2002,NA,NA,NA,6
3/15/2002,6.12,0.446,NA,6
3/16/2002,NA,NA,4.97,6
3/17/2002,NA,NA,NA,6
3/18/2002,NA,NA,NA,6
3/19/2002,NA,NA,NA,6
3/20/2002,NA,NA,NA,6
3/21/2002,3.15,0.241,NA,6
3/22/2002,NA,NA,1.33,6
3/23/2002,NA,NA,NA,6
3/24/2002,NA,NA,NA,6
3/25/2002,NA,NA,1.91,6
3/26/2002,NA,NA,NA,6
3/27/2002,5.16,0.135,NA,6
3/28/2002,NA,NA,1.39,6
3/29/2002,NA,NA,NA,6
3/30/2002,NA,NA,NA,6
3/31/2002,NA,NA,0.867,6
4/1/2002,NA,NA,NA,6
4/2/2002,4.64,0.904,NA,6
4/3/2002,NA,NA,1.41,6
4/4/2002,NA,NA,NA,6
4/5/2002,NA,NA,NA,6
4/6/2002,NA,NA,0.582,6
4/7/2002,NA,NA,NA,6
4/8/2002,5.8,0.706,NA,6
4/9/2002,NA,NA,3.57,6
4/10/2002,NA,NA,NA,6
4/11/2002,NA,NA,NA,6
4/12/2002,NA,NA,2.21,6
4/13/2002,NA,NA,NA,6
4/14/2002,2.17,0.442,NA,6
4/15/2002,NA,NA,0.735,6
4/16/2002,NA,NA,NA,6
4/17/2002,NA,NA,NA,6
4/18/2002,NA,NA,1.57,6
4/19/2002,NA,NA,NA,6
4/20/2002,4.8,0.813,NA,6
4/21/2002,NA,NA,1.37,6
4/22/2002,NA,NA,NA,6
4/23/2002,NA,NA,NA,6
4/24/2002,NA,NA,3.85,6
4/25/2002,NA,NA,1.41,6
4/26/2002,4.36,1.32,NA,6
4/27/2002,NA,NA,NA,6
4/28/2002,NA,NA,0.582,6
4/29/2002,NA,NA,NA,6
4/30/2002,NA,NA,NA,6
5/1/2002,NA,NA,3.57,6
5/2/2002,5.11,0.654,NA,6
5/3/2002,NA,NA,NA,6
5/4/2002,NA,NA,2.21,6
5/5/2002,NA,NA,NA,6
5/6/2002,NA,NA,NA,6
5/7/2002,NA,NA,0.735,6
5/8/2002,4.51,0.503,NA,6
5/9/2002,NA,NA,NA,6
5/10/2002,NA,NA,1.57,6
5/11/2002,NA,NA,NA,6
5/12/2002,NA,NA,NA,6
5/13/2002,NA,NA,1.37,6
5/14/2002,3.32,0.15,NA,6
5/15/2002,NA,NA,NA,6
5/16/2002,NA,NA,3.85,6
5/17/2002,NA,NA,0.699,6
5/18/2002,NA,NA,NA,6
5/19/2002,NA,NA,NA,6
5/20/2002,3.52,0.347,NA,6
5/21/2002,NA,NA,NA,6
5/22/2002,NA,NA,NA,6
5/23/2002,NA,NA,4.97,6
5/24/2002,NA,NA,NA,6
5/25/2002,NA,NA,NA,6
5/26/2002,3.71,0.422,NA,6
5/27/2002,NA,NA,NA,6
5/28/2002,NA,NA,NA,6
5/29/2002,NA,NA,1.33,6
5/30/2002,NA,NA,NA,6
5/31/2002,NA,NA,NA,6
6/1/2002,4.09,0.404,1.91,6
6/2/2002,NA,NA,NA,6
6/3/2002,NA,NA,NA,6
6/4/2002,NA,NA,1.39,6
6/5/2002,NA,NA,NA,6
6/6/2002,NA,NA,NA,6
6/7/2002,6.27,0.253,0.867,6
6/8/2002,NA,NA,NA,6
6/9/2002,NA,NA,NA,6
6/10/2002,NA,NA,1.41,6
6/11/2002,NA,NA,NA,6
6/12/2002,NA,NA,NA,6
6/13/2002,4.53,0.521,0.582,6
6/14/2002,NA,NA,NA,6
6/15/2002,NA,NA,NA,6
6/16/2002,NA,NA,3.57,6
6/17/2002,NA,NA,NA,6
6/18/2002,NA,NA,NA,6
6/19/2002,1.72,0.44,2.21,6
6/20/2002,NA,NA,NA,6
6/21/2002,NA,NA,NA,6
6/22/2002,NA,NA,0.735,6
6/23/2002,NA,NA,NA,6
6/24/2002,NA,NA,NA,6
6/25/2002,1.75,0.37,1.57,6
6/26/2002,NA,NA,NA,6
6/27/2002,NA,NA,NA,6
6/28/2002,NA,NA,1.37,6
6/29/2002,NA,NA,NA,6
6/30/2002,NA,NA,NA,6
7/1/2002,3.59,0.738,3.85,6
7/2/2002,NA,NA,NA,6
7/3/2002,NA,NA,NA,6
7/4/2002,NA,NA,1.79,6
7/5/2002,NA,NA,NA,6
7/6/2002,NA,NA,NA,6
7/7/2002,7.13,0.338,1.63,6
7/8/2002,NA,NA,NA,6
7/9/2002,NA,NA,NA,6
7/10/2002,NA,NA,1.18,6
7/11/2002,NA,NA,NA,6
7/12/2002,NA,NA,NA,6
7/13/2002,3.85,0.493,0.655,6
7/14/2002,NA,NA,NA,6
7/15/2002,NA,NA,NA,6
7/16/2002,NA,NA,0.764,6
7/17/2002,NA,NA,NA,6
7/18/2002,NA,NA,NA,6
7/19/2002,4.65,0.274,2.81,6
7/20/2002,NA,NA,NA,6
7/21/2002,NA,NA,NA,6
7/22/2002,NA,NA,NA,6
7/23/2002,NA,NA,NA,6
7/24/2002,NA,NA,NA,6
7/25/2002,NA,NA,NA,6
7/26/2002,NA,NA,NA,6
7/27/2002,NA,NA,2.3,6
7/28/2002,NA,NA,NA,6
7/29/2002,NA,NA,NA,6
7/30/2002,NA,NA,NA,6
7/31/2002,1.97,0.372,NA,6
8/1/2002,NA,NA,NA,6
8/2/2002,NA,NA,2.19,6
8/3/2002,NA,NA,NA,6
8/4/2002,NA,NA,NA,6
8/5/2002,NA,NA,NA,6
8/6/2002,2.65,0.41,NA,6
8/7/2002,NA,NA,NA,6
8/8/2002,NA,NA,1.2,6
8/9/2002,NA,NA,NA,6
8/10/2002,NA,NA,NA,6
8/11/2002,NA,NA,2.23,6
8/12/2002,2.07,0.5,NA,6
8/13/2002,NA,NA,NA,6
8/14/2002,NA,NA,4.15,6
8/15/2002,NA,NA,NA,6
8/16/2002,NA,NA,NA,6
8/17/2002,NA,NA,3,6
8/18/2002,3.81,0.413,NA,6
8/19/2002,NA,NA,NA,6
8/20/2002,NA,NA,4.04,6
8/21/2002,NA,NA,NA,6
8/22/2002,NA,NA,NA,6
8/23/2002,NA,NA,4.79,6
8/24/2002,3.34,0.313,NA,6
8/25/2002,NA,NA,NA,6
8/26/2002,NA,NA,2.05,6
8/27/2002,NA,NA,NA,6
8/28/2002,NA,NA,NA,6
8/29/2002,NA,NA,7.93,6
8/30/2002,4.95,0.37,NA,6
8/31/2002,NA,NA,NA,6
9/1/2002,NA,NA,7.74,6
9/2/2002,NA,NA,NA,6
9/3/2002,NA,NA,NA,6
9/4/2002,NA,NA,2.63,6
9/5/2002,6.86,0.179,NA,6
9/6/2002,NA,NA,NA,6
9/7/2002,NA,NA,3.8,6
9/8/2002,NA,NA,NA,6
9/9/2002,NA,NA,NA,6
9/10/2002,NA,NA,3.52,6
9/11/2002,8.99,0.392,NA,6
9/12/2002,NA,NA,NA,6
9/13/2002,NA,NA,3.7,6
9/14/2002,NA,NA,NA,6
9/15/2002,NA,NA,NA,6
9/16/2002,NA,NA,3.9,6
9/17/2002,10.8,0.545,NA,6
9/18/2002,NA,NA,NA,6
9/19/2002,NA,NA,2.72,6
9/20/2002,NA,NA,NA,6
9/21/2002,NA,NA,NA,6
9/22/2002,NA,NA,5.95,6
9/23/2002,3.58,0.289,NA,6
9/24/2002,NA,NA,NA,6
9/25/2002,NA,NA,2.11,6
9/26/2002,NA,NA,NA,6
9/27/2002,NA,NA,NA,6
9/28/2002,NA,NA,6.4,6
9/29/2002,5.9,0.245,NA,6
9/30/2002,NA,NA,NA,6
10/1/2002,NA,NA,2.67,6
10/2/2002,NA,NA,NA,6
10/3/2002,NA,NA,NA,6
10/4/2002,NA,NA,NA,6
10/5/2002,4.91,0.359,2.63,6
10/6/2002,NA,NA,NA,6
10/7/2002,NA,NA,NA,6
10/8/2002,NA,NA,3.8,6
10/9/2002,NA,NA,NA,6
10/10/2002,NA,NA,NA,6
10/11/2002,3.33,0.338,3.52,6
10/12/2002,NA,NA,NA,6
10/13/2002,NA,NA,NA,6
10/14/2002,NA,NA,3.7,6
10/15/2002,NA,NA,NA,6
10/16/2002,NA,NA,NA,6
10/17/2002,3.17,0.363,3.9,6
10/18/2002,NA,NA,NA,6
10/19/2002,NA,NA,NA,6
10/20/2002,NA,NA,2.72,6
10/21/2002,NA,NA,NA,6
10/22/2002,NA,NA,NA,6
10/23/2002,8.28,0.326,5.95,6
10/24/2002,NA,NA,NA,6
10/25/2002,NA,NA,NA,6
10/26/2002,NA,NA,2.11,6
10/27/2002,NA,NA,NA,6
10/28/2002,NA,NA,NA,6
10/29/2002,NA,NA,6.4,6
10/30/2002,NA,NA,NA,6
10/31/2002,NA,NA,NA,6
11/1/2002,NA,NA,2.67,6
11/2/2002,NA,NA,NA,6
11/3/2002,NA,NA,NA,6
11/4/2002,2.47,0.167,3.92,6
11/5/2002,NA,NA,NA,6
11/6/2002,NA,NA,0.699,6
11/7/2002,NA,NA,NA,6
11/8/2002,NA,NA,NA,6
11/9/2002,NA,NA,NA,6
11/10/2002,3.33,0.413,NA,6
11/11/2002,NA,NA,NA,6
11/12/2002,NA,NA,4.97,6
11/13/2002,NA,NA,NA,6
11/14/2002,NA,NA,NA,6
11/15/2002,NA,NA,NA,6
11/16/2002,3.35,0.254,NA,6
11/17/2002,NA,NA,NA,6
11/18/2002,NA,NA,1.33,6
11/19/2002,NA,NA,NA,6
11/20/2002,NA,NA,NA,6
11/21/2002,NA,NA,1.91,6
11/22/2002,2.18,0.442,NA,6
11/23/2002,NA,NA,NA,6
11/24/2002,NA,NA,1.39,6
11/25/2002,NA,NA,NA,6
11/26/2002,NA,NA,NA,6
11/27/2002,NA,NA,0.867,6
11/28/2002,NA,NA,NA,6
11/29/2002,2.95,1.21,NA,6
11/30/2002,NA,NA,1.41,6
12/1/2002,NA,NA,NA,6
12/2/2002,NA,NA,NA,6
12/3/2002,NA,NA,0.582,6
12/4/2002,2.84,0.99,NA,6
12/5/2002,NA,NA,NA,6
12/6/2002,NA,NA,3.57,6
12/7/2002,NA,NA,NA,6
12/8/2002,NA,NA,NA,6
12/9/2002,NA,NA,2.21,6
12/10/2002,NA,NA,NA,6
12/11/2002,NA,NA,NA,6
12/12/2002,NA,NA,0.735,6
12/13/2002,NA,NA,NA,6
12/14/2002,NA,NA,NA,6
12/15/2002,NA,NA,1.57,6
12/16/2002,3.4,1.55,NA,6
12/17/2002,NA,NA,NA,6
12/18/2002,NA,NA,1.37,6
12/19/2002,NA,NA,NA,6
12/20/2002,NA,NA,NA,6
12/21/2002,NA,NA,3.85,6
12/22/2002,NA,NA,1.41,6
12/23/2002,NA,NA,NA,6
12/24/2002,NA,NA,NA,6
12/25/2002,NA,NA,0.582,6
12/26/2002,NA,NA,NA,6
12/27/2002,NA,NA,NA,6
12/28/2002,2.13,0.734,3.57,6
12/29/2002,NA,NA,NA,6
12/30/2002,NA,NA,NA,6
12/31/2002,NA,NA,2.21,6
1/1/2003,NA,NA,NA,6
1/2/2003,NA,NA,NA,6
1/3/2003,2.23,0.323,0.735,6
1/4/2003,NA,NA,NA,6
1/5/2003,NA,NA,NA,6
1/6/2003,NA,NA,1.57,6
1/7/2003,NA,NA,NA,6
1/8/2003,NA,NA,NA,6
1/9/2003,NA,NA,1.37,6
1/10/2003,NA,NA,NA,6
1/11/2003,NA,NA,NA,6
1/12/2003,NA,NA,3.85,6
1/13/2003,NA,NA,0.699,6
1/14/2003,NA,NA,NA,6
1/15/2003,NA,NA,NA,6
1/16/2003,2.46,1.62,NA,6
1/17/2003,NA,NA,NA,6
1/18/2003,NA,NA,NA,6
1/19/2003,NA,NA,4.97,6
1/20/2003,NA,NA,NA,6
1/21/2003,1.88,1.01,NA,6
1/22/2003,NA,NA,NA,6
1/23/2003,NA,NA,NA,6
1/24/2003,NA,NA,NA,6
1/25/2003,NA,NA,1.33,6
1/26/2003,NA,NA,NA,6
1/27/2003,3.02,2.22,NA,6
1/28/2003,NA,NA,1.91,6
1/29/2003,NA,NA,NA,6
1/30/2003,NA,NA,NA,6
1/31/2003,NA,NA,1.39,6
2/1/2003,NA,NA,NA,6
2/2/2003,4.49,4.19,NA,6
2/3/2003,NA,NA,0.867,6
2/4/2003,NA,NA,NA,6
2/5/2003,NA,NA,NA,6
2/6/2003,NA,NA,1.41,6
2/7/2003,NA,NA,NA,6
2/8/2003,2.63,0.885,NA,6
2/9/2003,NA,NA,0.582,6
2/10/2003,NA,NA,NA,6
2/11/2003,NA,NA,NA,6
2/12/2003,NA,NA,3.57,6
2/13/2003,NA,NA,NA,6
2/14/2003,2.75,0.835,NA,6
2/15/2003,NA,NA,2.21,6
2/16/2003,NA,NA,NA,6
2/17/2003,NA,NA,NA,6
2/18/2003,NA,NA,0.735,6
2/19/2003,NA,NA,NA,6
2/20/2003,3.64,0.848,NA,6
2/21/2003,NA,NA,1.57,6
2/22/2003,NA,NA,NA,6
2/23/2003,NA,NA,NA,6
2/24/2003,NA,NA,1.37,6
2/25/2003,NA,NA,NA,6
2/26/2003,3.5,1.01,NA,6
2/27/2003,NA,NA,3.85,6
2/28/2003,NA,NA,NA,6
3/1/2003,NA,NA,NA,6
3/2/2003,NA,NA,1.79,6
3/3/2003,NA,NA,NA,6
3/4/2003,4.18,0.869,NA,6
3/5/2003,NA,NA,1.63,6
3/6/2003,NA,NA,NA,6
3/7/2003,NA,NA,NA,6
3/8/2003,NA,NA,1.18,6
3/9/2003,NA,NA,NA,6
3/10/2003,6.36,0.414,NA,6
3/11/2003,NA,NA,0.655,6
3/12/2003,NA,NA,NA,6
3/13/2003,NA,NA,NA,6
3/14/2003,NA,NA,0.764,6
3/15/2003,NA,NA,NA,6
3/16/2003,4.93,0.249,NA,6
3/17/2003,NA,NA,2.81,6
3/18/2003,NA,NA,NA,6
3/19/2003,NA,NA,NA,6
3/20/2003,NA,NA,NA,6
3/21/2003,NA,NA,NA,6
3/22/2003,2.6,0.322,NA,6
3/23/2003,NA,NA,NA,6
3/24/2003,NA,NA,NA,6
3/25/2003,NA,NA,2.3,6
3/26/2003,NA,NA,NA,6
3/27/2003,NA,NA,NA,6
3/28/2003,2.3,0.718,NA,6
3/29/2003,NA,NA,NA,6
3/30/2003,NA,NA,NA,6
3/31/2003,NA,NA,2.19,6
4/1/2003,NA,NA,NA,6
4/2/2003,NA,NA,NA,6
4/3/2003,3.52,0.628,NA,6
4/4/2003,NA,NA,NA,6
4/5/2003,NA,NA,NA,6
4/6/2003,NA,NA,1.2,6
4/7/2003,NA,NA,NA,6
4/8/2003,NA,NA,NA,6
4/9/2003,5.3,0.589,2.23,6
4/10/2003,NA,NA,NA,6
4/11/2003,NA,NA,NA,6
4/12/2003,NA,NA,4.15,6
4/13/2003,NA,NA,NA,6
4/14/2003,NA,NA,NA,6
4/15/2003,7.78,1.05,3,6
4/16/2003,NA,NA,NA,6
4/17/2003,NA,NA,NA,6
4/18/2003,NA,NA,4.04,6
4/19/2003,NA,NA,NA,6
4/20/2003,NA,NA,NA,6
4/21/2003,4.62,0.808,4.79,6
4/22/2003,NA,NA,NA,6
4/23/2003,NA,NA,NA,6
4/24/2003,NA,NA,2.05,6
4/25/2003,NA,NA,NA,6
4/26/2003,NA,NA,NA,6
4/27/2003,5.6,0.29,7.93,6
4/28/2003,NA,NA,NA,6
4/29/2003,NA,NA,NA,6
4/30/2003,NA,NA,7.74,6
5/1/2003,NA,NA,NA,6
5/2/2003,NA,NA,NA,6
5/3/2003,3.07,0.609,2.63,6
5/4/2003,NA,NA,NA,6
5/5/2003,NA,NA,NA,6
5/6/2003,NA,NA,3.8,6
5/7/2003,NA,NA,NA,6
5/8/2003,NA,NA,NA,6
5/9/2003,3.96,0.43,3.52,6
5/10/2003,NA,NA,NA,6
5/11/2003,NA,NA,NA,6
5/12/2003,NA,NA,3.7,6
5/13/2003,NA,NA,NA,6
5/14/2003,NA,NA,NA,6
5/15/2003,3.48,0.617,3.9,6
5/16/2003,NA,NA,NA,6
5/17/2003,NA,NA,NA,6
5/18/2003,NA,NA,2.72,6
5/19/2003,NA,NA,NA,6
5/20/2003,NA,NA,NA,6
5/21/2003,2.38,0.305,5.95,6
5/22/2003,NA,NA,NA,6
5/23/2003,NA,NA,NA,6
5/24/2003,NA,NA,2.11,6
5/25/2003,NA,NA,NA,6
5/26/2003,NA,NA,NA,6
5/27/2003,NA,NA,6.4,6
5/28/2003,NA,NA,NA,6
5/29/2003,NA,NA,NA,6
5/30/2003,NA,NA,2.67,6
5/31/2003,NA,NA,NA,6
6/1/2003,NA,NA,NA,6
6/2/2003,6.75,0.507,NA,6
6/3/2003,NA,NA,NA,6
6/4/2003,NA,NA,2.68,6
6/5/2003,NA,NA,NA,6
6/6/2003,NA,NA,NA,6
6/7/2003,NA,NA,1.14,6
6/8/2003,3.57,0.335,NA,6
6/9/2003,NA,NA,NA,6
6/10/2003,NA,NA,2.66,6
6/11/2003,NA,NA,NA,6
6/12/2003,NA,NA,NA,6
6/13/2003,NA,NA,11.2,6
6/14/2003,2.07,0.386,NA,6
6/15/2003,NA,NA,NA,6
6/16/2003,NA,NA,3.07,6
6/17/2003,NA,NA,NA,6
6/18/2003,NA,NA,NA,6
6/19/2003,NA,NA,8.2,6
6/20/2003,1.8,0.248,NA,6
6/21/2003,NA,NA,NA,6
6/22/2003,NA,NA,8.96,6
6/23/2003,NA,NA,NA,6
6/24/2003,NA,NA,NA,6
6/25/2003,NA,NA,2.53,6
6/26/2003,7.04,0.299,NA,6
6/27/2003,NA,NA,NA,6
6/28/2003,NA,NA,2.22,6
6/29/2003,NA,NA,NA,6
6/30/2003,NA,NA,NA,6
7/1/2003,NA,NA,1.51,6
7/2/2003,3.51,0.335,NA,6
7/3/2003,NA,NA,NA,6
7/4/2003,NA,NA,2.8,6
7/5/2003,NA,NA,NA,6
7/6/2003,NA,NA,NA,6
7/7/2003,NA,NA,1.49,6
7/8/2003,1.57,0.46,NA,6
7/9/2003,NA,NA,NA,6
7/10/2003,NA,NA,4.84,6
7/11/2003,NA,NA,NA,6
7/12/2003,NA,NA,NA,6
7/13/2003,NA,NA,3.23,6
7/14/2003,1.38,0.407,NA,6
7/15/2003,NA,NA,NA,6
7/16/2003,NA,NA,3.19,6
7/17/2003,NA,NA,NA,6
7/18/2003,NA,NA,NA,6
7/19/2003,NA,NA,2.02,6
7/20/2003,3.68,0.242,NA,6
7/21/2003,NA,NA,NA,6
7/22/2003,NA,NA,1.73,6
7/23/2003,NA,NA,NA,6
7/24/2003,NA,NA,NA,6
7/25/2003,NA,NA,3.64,6
7/26/2003,3.81,0.251,NA,6
7/27/2003,NA,NA,NA,6
7/28/2003,NA,NA,3.09,6
7/29/2003,NA,NA,NA,6
7/30/2003,NA,NA,NA,6
7/31/2003,NA,NA,1.82,6
8/1/2003,2.46,0.396,NA,6
8/2/2003,NA,NA,NA,6
8/3/2003,NA,NA,2.31,6
